Subject,Course Id,Name,Section Code,Start Date,End Date,Type,Start,End,Days,Room Number,Building,Instructors
AAS,100,Intro Asian American Studies,AD1,2024-08-26Z,2024-12-11Z,Discussion/Recitation,09:00 AM,09:50 AM,F,G32,"Literatures, Cultures, & Ling",[]
AAS,100,Intro Asian American Studies,AD2,2024-08-26Z,2024-12-11Z,Discussion/Recitation,10:00 AM,10:50 AM,F,G32,"Literatures, Cultures, & Ling",[]
AAS,100,Intro Asian American Studies,AD3,2024-08-26Z,2024-12-11Z,Discussion/Recitation,10:00 AM,10:50 AM,F,106B6,Engineering Hall,[]
AAS,100,Intro Asian American Studies,AD4,2024-08-26Z,2024-12-11Z,Discussion/Recitation,11:00 AM,11:50 AM,F,106B6,Engineering Hall,[]
AAS,100,Intro Asian American Studies,AD5,2024-08-26Z,2024-12-11Z,Discussion/Recitation,11:00 AM,11:50 AM,F,G36,"Literatures, Cultures, & Ling",[]
AAS,100,Intro Asian American Studies,AD6,2024-08-26Z,2024-12-11Z,Discussion/Recitation,12:00 PM,12:50 PM,F,G24,"Literatures, Cultures, & Ling",[]
AAS,100,Intro Asian American Studies,AD7,2024-08-26Z,2024-12-11Z,Discussion/Recitation,01:00 PM,01:50 PM,F,1136,"Literatures, Cultures, & Ling",[]
AAS,100,Intro Asian American Studies,AD8,2024-08-26Z,2024-12-11Z,Discussion/Recitation,02:00 PM,02:50 PM,F,1038,"Literatures, Cultures, & Ling",[]
AAS,100,Intro Asian American Studies,AD9,2024-08-26Z,2024-12-11Z,Discussion/Recitation,01:00 PM,01:50 PM,F,37,Education Building,[]
AAS,100,Intro Asian American Studies,ADA,2024-08-26Z,2024-12-11Z,Discussion/Recitation,02:00 PM,02:50 PM,F,37,Education Building,[]
AAS,100,Intro Asian American Studies,AL1,2024-08-26Z,2024-12-11Z,Lecture,01:00 PM,01:50 PM,MW,141,Wohlers Hall,[]
AAS,200,U.S. Race and Empire,C,2024-08-26Z,2024-12-11Z,Lecture-Discussion,11:00 AM,12:20 PM,TR,209,David Kinley Hall,[]
AAS,201,US Racial & Ethnic Politics,AD1,2024-08-26Z,2024-12-11Z,Discussion/Recitation,09:00 AM,09:50 AM,F,222,David Kinley Hall,[]
AAS,201,US Racial & Ethnic Politics,AD2,2024-08-26Z,2024-12-11Z,Discussion/Recitation,10:00 AM,10:50 AM,F,111,David Kinley Hall,[]
AAS,201,US Racial & Ethnic Politics,AD3,2024-08-26Z,2024-12-11Z,Discussion/Recitation,02:00 PM,02:50 PM,F,212,David Kinley Hall,[]
