Course Code,Course Name,CRN,Type,Section,Time,Day,Instructor,Room Number,Building
AAS 100,Intro Asian American Studies,41758,Discussion/ Recitation,AD1,09:00AM - 09:50AM,F,,32,"Literatures, Cultures, & Ling"
AAS 100,Intro Asian American Studies,47100,Discussion/ Recitation,AD2,10:00AM - 10:50AM,F,,32,"Literatures, Cultures, & Ling"
AAS 100,Intro Asian American Studies,47102,Discussion/ Recitation,AD3,10:00AM - 10:50AM,F,,6,Engineering Hall
AAS 100,Intro Asian American Studies,51248,Discussion/ Recitation,AD4,11:00AM - 11:50AM,F,,6,Engineering Hall
AAS 100,Intro Asian American Studies,51249,Discussion/ Recitation,AD5,11:00AM - 11:50AM,F,,36,"Literatures, Cultures, & Ling"
AAS 100,Intro Asian American Studies,51932,Discussion/ Recitation,AD6,12:00PM - 12:50PM,F,,24,"Literatures, Cultures, & Ling"
AAS 100,Intro Asian American Studies,59818,Discussion/ Recitation,AD7,01:00PM - 01:50PM,F,,1136,"Literatures, Cultures, & Ling"
AAS 100,Intro Asian American Studies,59819,Discussion/ Recitation,AD8,02:00PM - 02:50PM,F,,1038,"Literatures, Cultures, & Ling"
AAS 100,Intro Asian American Studies,59820,Discussion/ Recitation,AD9,01:00PM - 01:50PM,F,,37,Education Building
AAS 100,Intro Asian American Studies,59821,Discussion/ Recitation,ADA,02:00PM - 02:50PM,F,,37,Education Building
AAS 100,Intro Asian American Studies,29646,Lecture,AL1,01:00PM - 01:50PM,MW,,141,Wohlers Hall
AAS 200,U.S. Race and Empire,67473,Lecture-Discussion,C,11:00AM - 12:20PM,TR,,209,David Kinley Hall
AAS 201,US Racial & Ethnic Politics,62301,Discussion/ Recitation,AD1,09:00AM - 09:50AM,F,,222,David Kinley Hall
AAS 201,US Racial & Ethnic Politics,62302,Discussion/ Recitation,AD2,10:00AM - 10:50AM,F,,111,David Kinley Hall
AAS 201,US Racial & Ethnic Politics,62303,Discussion/ Recitation,AD3,02:00PM - 02:50PM,F,,212,David Kinley Hall
AAS 201,US Racial & Ethnic Politics,62300,Lecture,AL1,10:00AM - 10:50AM,MW,"Wong, C",1090,Lincoln Hall
AAS 281,Constructing Race in America,71409,Discussion/ Recitation,AD1,09:00AM - 09:50AM,F,,325,David Kinley Hall
AAS 281,Constructing Race in America,71413,Discussion/ Recitation,AD2,01:00PM - 01:50PM,F,,18,"Literatures, Cultures, & Ling"
AAS 281,Constructing Race in America,71417,Discussion/ Recitation,AD3,11:00AM - 11:50AM,F,,1064,Lincoln Hall
AAS 281,Constructing Race in America,75269,Discussion/ Recitation,AD4,11:00AM - 11:50AM,F,,134,Armory
AAS 281,Constructing Race in America,75272,Discussion/ Recitation,AD5,01:00PM - 01:50PM,W,,219,David Kinley Hall
AAS 281,Constructing Race in America,75275,Discussion/ Recitation,AD6,02:00PM - 02:50PM,W,,325,David Kinley Hall
AAS 281,Constructing Race in America,70106,Lecture-Discussion,AL1,11:00AM - 11:50AM,MW,"Ramirez, Y",134,Temple Hoyne Buell Hall
AAS 286,Asian American Literature,41932,Lecture-Discussion,F,02:00PM - 02:50PM,MWF,,137,Henry Administration Bldg
AAS 297,Asian Families in America,64421,Lecture-Discussion,A,09:30AM - 10:45AM,TR,"Chih, D",302,Architecture Building
AAS 297,Asian Families in America,77102,Lecture-Discussion,B,05:00PM - 06:15PM,MW,"Balgopal, A",242,Bevier Hall
AAS 300,"Theories of Race, Gender, and Sexuality",66652,Lecture-Discussion,A,01:00PM - 02:20PM,TR,,1020,Lincoln Hall
AAS 310,Race and Cultural Diversity,65000,Discussion/ Recitation,D1,02:00PM - 03:50PM,R,"Moton, T",389,Education Building
AAS 310,Race and Cultural Diversity,33764,Discussion/ Recitation,D2,02:00PM - 03:50PM,R,"Moton, T",385,Education Building
AAS 310,Race and Cultural Diversity,77817,Discussion/ Recitation,D3,02:00PM - 03:50PM,R,"Moton, T",376,Education Building
AAS 310,Race and Cultural Diversity,79695,Discussion/ Recitation,D4,02:00PM - 03:50PM,R,"Moton, T",320,Mumford Hall
AAS 310,Race and Cultural Diversity,79699,Discussion/ Recitation,D5,02:00PM - 03:50PM,R,"Moton, T",137,Armory
AAS 310,Race and Cultural Diversity,33770,Lecture,L,02:00PM - 03:50PM,T,"Moton, T",2,Education Building
AAS 355,Race and Mixed Race,61320,Lecture-Discussion,A,12:30PM - 01:50PM,TR,"Lule, L",219,David Kinley Hall
AAS 390,Intermed Topics Asian Am St,67213,Lecture-Discussion,D,10:30AM - 11:50AM,MW,"Bui, K",115,Turner Hall
AAS 465,"Race, Sex, and Deviance",54040,Lecture-Discussion,G,03:00PM - 05:20PM,M,"Flores, N",103,1207 W Oregon
AAS 465,"Race, Sex, and Deviance",54039,Lecture-Discussion,U,03:00PM - 05:20PM,M,"Flores, N",103,1207 W Oregon
AAS 479,"Race, Medicine, and Society",55874,Lecture-Discussion,G,12:30PM - 02:50PM,W,"Lira, N",103,1207 W Oregon
AAS 479,"Race, Medicine, and Society",55873,Lecture-Discussion,U,12:30PM - 02:50PM,W,"Lira, N",103,1207 W Oregon
ABE 127,Introduction to Agricultural & Biological Engineering,78644,Laboratory-DiscussionLecture,RBHRBH,01:00PM - 02:50PM140002:00PM - 02:50PM,R      T,"Bhattarai, RBhattarai, R",208,Agricultural Engr Sciences Bld208 Agricultural Engr Sciences Bld
ABE 199,Undergraduate Open Seminar,70613,Lecture-Discussion,AB,01:00PM - 01:50PM,W,"Boone, A",217,Agricultural Engr Sciences Bld
ABE 227,Computer-Aided Problem-Solving for ABE I,79304,LaboratoryLecture,LB1LB1,08:00AM - 09:50AM090009:00AM - 09:50AM,R      MW,"Grift, TGrift, T",242,Agricultural Engr Sciences Bld272 Agricultural Engr Sciences Bld
ABE 227,Computer-Aided Problem-Solving for ABE I,79305,LaboratoryLecture,LB2LB2,10:00AM - 11:50AM090009:00AM - 09:50AM,R      MW,"Grift, TGrift, T",242,Agricultural Engr Sciences Bld272 Agricultural Engr Sciences Bld
ABE 232,Context in International Interventions,75460,Lecture-Discussion,APW,12:30PM - 01:50PM,TR,"Witmer, A",218,Ceramics Building
ABE 340,Thermodynamics for Agricultural and Biological Engineering,77441,Lecture,MK,02:00PM - 03:20PM,TR,"Kamruzzaman, M",242,Agricultural Engr Sciences Bld
ABE 436,Renewable Energy Systems,68450,LaboratoryLecture,XW1XW1,01:00PM - 02:50PM130001:00PM - 01:50PM,M      WF,"Malvandi, AMalvandi, A",208,Agricultural Engr Sciences Bld208 Agricultural Engr Sciences Bld
ABE 436,Renewable Energy Systems,68451,LaboratoryLecture,XW2XW2,01:00PM - 02:50PM130001:00PM - 01:50PM,M      WF,"Malvandi, AMalvandi, A",208,Agricultural Engr Sciences Bld208 Agricultural Engr Sciences Bld
ABE 452,Engineering for Disaster Resilience,75570,Lecture-DiscussionOnline Discussion,LFRLFR,11:00AM - 11:50AM0000ARRANGED,MW     n.a.,"Rodriguez, LRodriguez, L",3038,Campus Instructional Facilityn.a.
ABE 452,Engineering for Disaster Resilience,76687,Lecture-DiscussionLecture-Discussion,LR1LR1,11:00AM - 11:50AM120012:00PM - 12:50PM,MW     W,"Rodriguez, LRodriguez, L",3038,Campus Instructional Facility2018 Campus Instructional Facility
ABE 456,Land & Water Resources Engrg,79781,LaboratoryLecture,LAOLAO,01:00PM - 02:50PM130001:00PM - 02:50PM,W      M,"Alves de Oliveira, LAlves de Oliveira, L",242,Agricultural Engr Sciences Bld242 Agricultural Engr Sciences Bld
ABE 456,Land & Water Resources Engrg,79782,LaboratoryLecture,LO LO,01:00PM - 02:50PM130001:00PM - 02:50PM,W      M,"Alves de Oliveira, LAlves de Oliveira, L",242,Agricultural Engr Sciences Bld242 Agricultural Engr Sciences Bld
ABE 459,Drainage and Water Management,29655,LaboratoryLecture,A3 A3,03:00PM - 05:50PM100010:00AM - 10:50AM,W      MW,"Cooke, RCooke, R",242,Agricultural Engr Sciences Bld242 Agricultural Engr Sciences Bld
ABE 459,Drainage and Water Management,39805,LaboratoryLecture,A4 A4,03:00PM - 05:50PM100010:00AM - 10:50AM,W      MW,"Cooke, RCooke, R",242,Agricultural Engr Sciences Bld242 Agricultural Engr Sciences Bld
ABE 466,Engineering Off-Road Vehicles,31277,Laboratory,AB2,02:00PM - 04:50PM,R,"Allen, C",137,Agricultural Engr Sciences Bld
ABE 488,Bioprocessing Biomass for Fuel,57478,Lecture,VS,12:30PM - 01:50PM,TR,"Banerjee, SMaitra, SSingh, V",272,Agricultural Engr Sciences Bld
ABE 498,Special Topics,77384,Lecture,AB,12:30PM - 01:50PM,TR,"Tessum, M",242,Agricultural Engr Sciences Bld
